DATE,VOTE,INFO
2025-06-04,4,계속 사용중인데 조금 쓰다보면 가루가 부서져하긴해도 사용중인데 일단 장마오기 전까진 두부모래 사용 후 바꾸어 보려고 고민중입니다~이번엔 주문하고 바로 배송이 떠 이제까지 젤 빠른 배송 감사합니다 ^^
2025-05-16,5,"재구매몇봉지째 사용중인지 셀수없을정도로 잘 쓰고있습니다. 타사제품 사용하다가 가성비 모래라고 해서 네네린도를 쓰기 시작했는데 초극세사를 쓰다보니 가격은 비슷하지만(지금은 더비싸졌지만^_T 묘르신이 좋아하시니 열심히 사다나르고있어요 이전보다 탈취력,응고력이좋아진것 같은건 기분탓일까요? 비뇨기문제로 처방사료급여중이라 쉬 양도많고 횟수도 많은데 자잘한 더러운모래흩어지는게 많이줄고 덩어리도 똑떨어집니다. 탈취면에서 항상 아쉬움이 있었는데 훨씬 냄새가줄었어요. 화장실 탈취기도사용중이긴한데 모래치울때도 수월합니다.가격만제발제발 더이상 오르지않길바랍니다 고양이곳간채워놓으니 마음이 편하네요 네네린도화이팅입니다! 방송은또언제하시나요?맨날놓쳐서아쉬워요ㅜ"
2025-06-04,5,재구매집사생활 십년 넘었는데 솔직히 여기 모래가 젤 가루날림이 없어요..응고력은 업체마다 거의 비슷한데 모래가루가 정말 없어서 깜짝 놀랬어요..비싼 모래두 가루가 많아서 정말 고민 마니했었는데 그래서 재구매 했어요^^
2025-05-24,1,"정기구독요즘 너무 실망이에요...정기구독인데... 일단 정.기.적.인. 구독 자체가 진행이 안됐구요...향은.. 묘한 이상한 냄새가 첫 포장 열어서 화장실에 부워줄때부터 나구요. 먼지도 처음 뜯어서 부워주는데 부옇~~~~게 나네요....??? 진공포장이 풀린건 더더더욱 심하구요... 제품이 문제일까요... 집 앞에 집어던지고 가시는 택배 기사님이 문제이실까요...??(박스가 테이프는 접착력 없이 덜렁거리고.. 박스 모서리는 어디서 어떻게 굴리고 오시는지.. 택배박스가 모서리 없이 동글동글해져서 와요... 그러니 안에 들어있는 모래 상태는 말할것도 없죠...??)그리고 마지막.. 화장실 청소할때는... 파스스~~~ 풀어져요.. 이정도면 응고력이 그냥 없다고 봐도 되는 제품 아닌가.. 할 만큼요...그냥 전체적으로 리뉴얼 전 제품이 훨 나아요 ㅠㅠ 왜 리뉴얼 하셨을까요 ㅠㅠ 아쉽네요 ㅠㅠ근래들어 구독관리, 제품 퀄리티 관리가 너무 안좋고 실망스러워서 갈아탈 제품 찾을때까지만 쓰려합니다.그래도 애들 키우면서 처음 제품 만나 나름 오래 사용하고 정말 큰 만족을 줬던 제품이라..변경 없이 꾸준히 사용할 생각으로 구독도 했는데...마지막에 너무 안좋은 이미지를 주셔서 참 정말 실망이에요 ㅠㅠ"
2025-05-31,5,우리집 고양이가 관심을 보이더니 교체하자마자 들어가더라고요ㅎ다른 제품들은 2개는 많고 한개는 먼지 모르게 부족한 느낌이였는데 딱좋아요ㅎㅎ냄새도 많이 나지않고 볼일 본 후에도 딱 잡아주더라고요ㅎ좀 더 써봐야알겠지만 아마 네네린도로 정착할것같아요^^
2025-05-17,2,재구매모래상태가 참 안좋네요. 부서진 정도가 심하네요. ㅠㅠ마지막 통에서 꺼내준건지 어쩐건지.저렴이로 산것도 아닌데요이제 1주 정도 사용했는데 모래를 바꿔야 될것 샅아요.포장지가 바뀌면서 내용물 상태확인도 않되고ㅠㅠ반품하기 어려운 상황도 있는고 같은 돈주고 왜 품질이일정하지 않고 복불복인지 모르겠네요.포장지에서 바로 부었을때 찍은 사진 첨부합니다.
2025-06-06,5,처음 구매해보는데 가격대비 괜찮은것같습니다 진공포장 상태 좋고 대용량인것도 마음에 듭니다 탈취나 응고력은 타 두부모래들과 비슷해요 적당합니다 재구매의사 있어요
2025-06-06,1,재구매하... 진짜 처음에는 진공포장 잘되어서 왔는데 이제는 좀 팔리니까 개판으로 오는군요... 저렇게 진공포장 안되서 오는 물건은 먼지 많이 날립니다.. 초심으로 돌아가서 좀 잘좀 만드세요! 소비자를 개무시 하는 짓 하지 마시고!
2025-05-26,3,기존 모래두부는 1회 용량이 부족한듯...2개를 쓰기엔 좀 그랬는데1팩으로. 가득 채울. 수 있어 좋고아직 오래 사용한건 아니지만 가루 날림도 거의없는거 같아 현재까지는 만족합니다.
2025-05-17,5,재구매네네린도 두부모래 몇년째 사용중입니다 나름 만족하며 잘 쓰고 있습니다 먼지는 처음엔 정말 안날린다고 봐야하고 교체주기즈음에나 보여요 잘 뭉치고 물에 잘 녹아요 근데 두부모래가 랜덤인게 느껴지는데 저번모래는 젖었을때 밝은색이였다면 요번엔 약간 어두운색이에요 어두운색으로 변하는 모래는 두부모래 특유의 냄새가 좀 나는거같아요 하지만 냥이가 잘 써줘서 만족합니다 요번엔 진공이 2개 풀려와서 슬퍼요ㅠ
